RAOB/CSV,Ballon Launch 08_14_2017,,,,,,,,,,
INFO:1,,,,,,,,,,,
INFO:2,,,,,,,,,,,
DTG,2017-08-14 13:00:00,,,,,,,,,,
LAT,50.3,S,,,,,,,,,
LON,72.8,W,,,,,,,,,
ELEV,5,M,,,,,,,,,
WMO,,,,,,,,,,,
TEMPERATURE,C,,,,,,,,,,
MOISTURE,RH,,,,,,,,,,
WIND,kts,,,,,,,,,,
GPM,MSL,,,,,,,,,,
MISSING,-999,,,,,,,,,,
SORT,YES,,,,,,,,,,
OZONE,mPa,,,,,,,,,,
RAOB/DATA,,,,,,,,,,,
PRES,TEMP,RH,WIND,SPEED,GPM,OZONE,OMEGA,CFRL,VapDen,LiqWat,WSPEED
436.33,-39.42,4.08,230.2165383,65.72177056,6115,,,,,,
433.9,-39.74,4.07,230.2176876,65.45413779,6153,,,,,,
431.33,-40.16,4.03,230.9311306,64.91412725,6191,,,,,,
429.04,-40.39,4.06,232.0924991,66.69294051,6227,,,,,,
426.83,-40.65,3.97,232.6886898,66.28420218,6263,,,,,,
424.7,-40.86,3.8,231.864706,68.09858515,6298,,,,,,
422.71,-41.12,3.83,231.0905755,66.81713995,6329,,,,,,
420.72,-41.3,3.69,230.476614,66.99569083,6360,,,,,,
418.96,-41.56,3.61,230.9147601,66.18911228,6389,,,,,,
417.06,-41.77,3.5,230.8739898,67.15495636,6418,,,,,,
415.2,-41.99,3.38,231.8671,66.77716663,6448,,,,,,
413.49,-42.2,3.33,233.0858363,66.74986169,6476,,,,,,
411.67,-42.37,3.29,233.1336936,67.90068137,6505,,,,,,
409.91,-42.55,3.25,231.5444488,68.03443866,6536,,,,,,
407.57,-42.46,3.02,231.0694959,72.26931518,6573,,,,,,
405.66,-42.64,2.81,229.3093378,72.20063165,6604,,,,,,
403.74,-42.77,2.63,229.9843901,72.16915067,6636,,,,,,
401.46,-42.61,2.27,227.0708351,72.62783366,6675,,,,,,
398.96,-42.43,1.99,224.8884613,75.35640274,6717,,,,,,
396.89,-42.47,1.71,225.6634339,78.17838124,6753,,,,,,
394.65,-42.57,1.43,224.2355113,79.56633956,6793,,,,,,
392.39,-42.65,1.26,223.1448109,80.84996654,6835,,,,,,
389.83,-42.89,1.07,221.2700993,81.44017713,6879,,,,,,
387.37,-43.16,0.81,220.7480484,82.95896281,6923,,,,,,
384.64,-43.53,0.66,220.995749,82.21366253,6971,,,,,,
381.92,-43.9,0.51,221.6554867,83.68335,7021,,,,,,
378.94,-44.3,0.44,221.3307163,82.49098904,7072,,,,,,
376.05,-44.76,0.36,221.0200327,81.8728227,7126,,,,,,
373.05,-45.11,0.33,221.1322231,81.84091731,7179,,,,,,
370.16,-45.46,0.23,221.680837,81.29393921,7232,,,,,,
367.32,-45.54,0.21,220.8038004,80.63844322,7282,,,,,,
364.62,-45.89,0.19,220.3782925,79.70352771,7334,,,,,,
361.66,-46.14,0.04,219.356904,78.94500447,7390,,,,,,
358.32,-46.78,,220.0307945,81.12490707,7452,,,,,,
355.56,-47.1,,220.2017383,81.97741025,7499,,,,,,
353.08,-47.39,,220.5336722,80.76630816,7541,,,,,,
350.75,-47.68,,219.2301381,79.02483895,7587,,,,,,
348.35,-48,,221.0176898,75.01902045,7630,,,,,,
346.34,-48.13,,218.3907234,76.72625937,7669,,,,,,
344.41,-48.31,,218.8935919,73.88966741,7706,,,,,,
