"TOA5","CR6PerlanScience","CR6","3222","CR6.Std.03.41","CPU:perlan.CR6","39859","Table1"
"TIMESTAMP","RECORD","AirTC","RH"
"TS","RN","Deg C","%"
"","","Smp","Smp"
"2018-09-02 11:59:50",339,6.107,64.45
"2018-09-02 11:59:51",340,6.197,64.57
"2018-09-02 11:59:52",341,6.015,64.37
"2018-09-02 11:59:53",342,6.103,64.45
"2018-09-02 11:59:54",343,6.017,64.38
"2018-09-02 11:59:55",344,6.12,64.44
"2018-09-02 11:59:56",345,6.02,64.38
"2018-09-02 11:59:57",346,6.026,64.33
"2018-09-02 11:59:58",347,6.103,64.42
"2018-09-02 11:59:59",348,6.013,64.37
"2018-09-02 12:00:00",349,6.124,64.45
"2018-09-02 12:00:01",350,6.014,64.38
"2018-09-02 12:00:02",351,6.12,64.45
"2018-09-02 12:00:03",352,6.192,64.54
"2018-09-02 12:00:04",353,6.02,64.33
"2018-09-02 12:00:05",354,6.099,64.4
"2018-09-02 12:00:06",355,6.017,64.34
"2018-09-02 12:00:07",356,6.119,64.43
"2018-09-02 12:00:08",357,6.013,64.34
"2018-09-02 12:00:09",358,6.056,64.49
"2018-09-02 12:00:10",359,6.014,64.34
"2018-09-02 12:00:11",360,6.025,64.33
"2018-09-02 12:00:12",361,6.097,64.39
"2018-09-02 12:00:13",362,6.022,64.34
"2018-09-02 12:00:14",363,6.119,64.42
"2018-09-02 12:00:15",364,6.018,64.34
"2018-09-02 12:00:16",365,6.058,64.37
"2018-09-02 12:00:17",366,6.119,64.53
"2018-09-02 12:00:18",367,6.025,64.31
"2018-09-02 12:00:19",368,6.093,64.36
"2018-09-02 12:00:20",369,6.024,64.32
"2018-09-02 12:00:21",370,6.119,64.37
"2018-09-02 12:00:22",371,6.023,64.31
"2018-09-02 12:00:23",372,6.06,64.36
"2018-09-02 12:00:24",373,6.2,64.48
"2018-09-02 12:00:25",374,6.02,64.31
"2018-09-02 12:00:26",375,6.118,64.38
"2018-09-02 12:00:27",376,6.023,64.29
"2018-09-02 12:00:28",377,6.109,64.35
"2018-09-02 12:00:29",378,6.025,64.29
"2018-09-02 12:00:30",379,6.095,64.37
"2018-09-02 12:00:31",380,6.115,64.28
"2018-09-02 12:00:32",381,6.017,64.27
"2018-09-02 12:00:33",382,6.122,64.35
"2018-09-02 12:00:34",383,6.019,64.28
"2018-09-02 12:00:35",384,6.112,64.35
"2018-09-02 12:00:36",385,6.023,64.29
"2018-09-02 12:00:37",386,6.091,64.34
"2018-09-02 12:00:38",387,6.196,64.36
"2018-09-02 12:00:39",388,6.015,64.23
"2018-09-02 12:00:40",389,6.102,64.31
"2018-09-02 12:00:41",390,6.016,64.25
"2018-09-02 12:00:42",391,6.123,64.31
"2018-09-02 12:00:43",392,6.019,64.25
"2018-09-02 12:00:44",393,6.03,64.19
"2018-09-02 12:00:45",394,6.105,64.28
"2018-09-02 12:00:46",395,6.017,64.24
"2018-09-02 12:00:47",396,6.124,64.32
"2018-09-02 12:00:48",397,6.014,64.21
"2018-09-02 12:00:49",398,6.12,64.28
"2018-09-02 12:00:50",399,6.015,64.21
"2018-09-02 12:00:51",400,6.022,64.19
"2018-09-02 12:00:52",401,6.101,64.26
"2018-09-02 12:00:53",402,6.018,64.21
"2018-09-02 12:00:54",403,6.123,64.29
"2018-09-02 12:00:55",404,6.016,64.21
"2018-09-02 12:00:56",405,6.123,64.29
"2018-09-02 12:00:57",406,6.016,64.21
"2018-09-02 12:00:58",407,6.058,64.24
"2018-09-02 12:00:59",408,6.187,64.35
"2018-09-02 12:01:00",409,6.022,64.18
"2018-09-02 12:01:01",410,6.12,64.25
"2018-09-02 12:01:02",411,6.02,64.18
"2018-09-02 12:01:03",412,6.116,64.25
"2018-09-02 12:01:04",413,6.016,64.18
"2018-09-02 12:01:05",414,6.07,64.3
"2018-09-02 12:01:06",415,6.193,64.33
"2018-09-02 12:01:07",416,6.026,64.17
"2018-09-02 12:01:08",417,6.094,64.23
"2018-09-02 12:01:09",418,6.023,64.18
"2018-09-02 12:01:10",419,6.116,64.21
"2018-09-02 12:01:11",420,6.02,64.15
"2018-09-02 12:01:12",421,6.097,64.25
"2018-09-02 12:01:13",422,6.189,64.31
"2018-09-02 12:01:14",423,6.024,64.15
"2018-09-02 12:01:15",424,6.116,64.21
"2018-09-02 12:01:16",425,6.027,64.16
